191,Alexandria,45.885,-95.3778,MSP,118
192,Grand Marais,47.7513,-90.3363,GRM,153
193,Jackson,32.2988,-90.1848,JAN,117
194,Gulfport,30.3674,-89.0928,GPT,113
195,Biloxi,30.396,-88.8853,GPT,140
196,Hattiesburg,31.3271,-89.2903,PIB,113
197,Tupelo,34.2576,-88.7034,TUP,118
199,Starkville,33.4504,-88.8184,GTR,124
200,Oxford,34.3665,-89.5193,MEM,134
201,Meridian,32.3643,-88.7037,MEI,110
202,Vicksburg,32.352,-90.8779,JAN,121
203,Greenville,33.4107,-91.0618,GLH,102
204,Kansas City,39.0997,-94.5786,MCI,126
205,St. Louis,38.627,-90.1994,STL,144
206,Branson,36.6437,-93.2185,BKG,147
207,Springfield,37.2083,-93.2923,SGF,113
208,Columbia,38.9517,-92.3341,COU,122
209,Independence,39.0911,-94.4155,MCI,122
210,Jefferson City,38.5767,-92.1735,COU,120
211,Joplin,37.0842,-94.5133,JLN,105
212,Cape Girardeau,37.3059,-89.5181,CGI,100
213,Hannibal,39.7084,-91.3585,UIN,110
214,Billings,45.7888,-108.5507,BIL,130
215,Bozeman,45.677,-111.0429,BZN,140
216,Missoula,46.8787,-114.0018,MSO,120
217,Butte,45.9489,-112.495,BTM,110
218,Helena,46.5927,-112.0361,HLN,110
219,Kalispell,48.1958,-114.3118,FCA,120
220,Great Falls,47.5049,-111.2958,GTF,110
221,Livingston,45.6624,-110.5614,BZN,130
222,Miles City,46.4083,-105.8406,MLS,100
223,Sidney,47.7165,-104.1624,SDY,100
224,Omaha,41.2565,-95.9345,OMA,120
225,Lincoln,40.8258,-96.6852,LNK,110
226,Grand Island,40.9264,-98.342,GRI,100
227,Las Vegas,36.1699,-115.1398,LAS,160
228,Reno,39.5296,-119.8138,RNO,130
229,Henderson,36.0395,-114.9817,LAS,140
230,North Las Vegas,36.2292,-115.0881,VGT,130
231,Sparks,39.5358,-119.7479,RNO,120
232,Manchester,42.9956,-71.4548,MHT,130
233,Portsmouth,43.0718,-70.7626,PSM,140
234,Concord,43.2081,-71.5376,CON,120
235,Nashua,42.7654,-71.4676,ASH,110
236,Hanover,43.7031,-72.2895,LEB,160
237,Keene,42.9337,-72.2781,MHT,185
238,Dover,43.1972,-70.8736,MHT,175
239,Laconia,43.5279,-71.4704,MHT,185
240,Rochester,43.3045,-70.9753,MHT,170
241,Exeter,42.9814,-70.9478,MHT,180
242,Atlantic City,39.3643,-74.4229,ACY,215
243,Cape May,38.9356,-74.906,ACY,235
244,Hoboken,40.7431,-74.0324,EWR,220
245,Jersey City,40.7282,-74.0776,EWR,215
246,Newark,40.6895,-74.1745,EWR,210
247,Princeton,40.3573,-74.6672,TTN,215
248,Trenton,40.2171,-74.7429,TTN,200
249,Asbury Park,40.2204,-74.0121,EWR,225
250,Morristown,40.7968,-74.4815,EWR,220
251,Wildwood,38.9869,-74.8278,ACY,225
252,Albuquerque,35.0844,-106.6504,ABQ,180
253,Santa Fe,35.687,-105.9378,SAF,195
254,Taos,36.4072,-105.5731,TSM,190
255,Las Cruces,32.3199,-106.7637,LRU,175
256,Roswell,33.3943,-104.5224,ROW,170
257,Carlsbad,32.4207,-104.2288,CNM,175
258,Alamogordo,32.8995,-105.9603,ALM,165
259,Farmington,36.7281,-108.2187,FMN,170
260,Gallup,35.5297,-108.7426,GUP,155
261,Los Alamos,35.8869,-106.305,SAF,190
262,New York City,40.7128,-74.006,JFK,255
263,Niagara Falls,43.082816,-79.074162,IAG,134
264,Buffalo,42.886448,-78.878372,BUF,143
265,Rochester,43.157285,-77.615214,ROC,121
266,Syracuse,43.048122,-76.147424,SYR,139
267,Albany,42.652579,-73.756232,ALB,134
268,Saratoga Springs,43.08313,-73.784565,ALB,136
269,Ithaca,42.443961,-76.501881,ITH,131
270,Hudson,42.251766,-73.785001,ALB,156
271,Lake Placid,44.279491,-73.979871,SLK,165
272,Asheville,35.595058,-82.551487,AVL,160
273,Charlotte,35.227087,-80.843127,CLT,143
274,Raleigh,35.779591,-78.638176,RDU,133
275,Wilmington,34.225726,-77.94471,ILM,141
276,Durham,35.994032,-78.898619,RDU,133
277,Greensboro,36.072635,-79.791975,GSO,135
278,Winston-Salem,36.09986,-80.244217,INT,137
279,Chapel Hill,35.913199,-79.055844,RDU,149
280,Fayetteville,35.052664,-78.878358,FAY,122
281,Asheville,35.6009,-82.554,AVL,150
282,Fargo,46.8772,-96.7898,FAR,110
283,Bismarck,46.8083,-100.7837,BIS,120
284,Grand Forks,47.9253,-97.0329,GFK,100
285,Minot,48.2325,-101.2963,MOT,120
286,West Fargo,46.8767,-96.8998,FAR,110
287,Jamestown,46.9105,-98.7084,JMS,90
288,Dickinson,46.8792,-102.7896,DIK,120
289,Mandan,46.8267,-100.8898,BIS,120
290,Williston,48.1474,-103.6173,XWA,150
291,Devils Lake,48.1128,-98.8595,DVL,90
292,Cleveland,41.4993,-81.6944,CLE,112
293,Toledo,41.6656,-83.5753,TOL,93
294,Akron,41.0814,-81.519,CAK,100
295,Canton,40.7989,-81.3784,CAK,86
296,Sandusky,41.4489,-82.708,SKY,93
297,Youngstown,41.0998,-80.6495,YNG,82
298,Oberlin,41.2938,-82.2179,LPR,96
299,Bowling Green,41.3748,-83.6513,TOL,82
300,Medina,41.1384,-81.8637,CLE,100
301,Lorain,41.4528,-82.1824,LPR,79
302,Oklahoma City,35.4676,-97.5164,OKC,98
303,Tulsa,36.154,-95.9928,TUL,86
304,Norman,35.2226,-97.4395,OUN,94
305,Lawton,34.6033,-98.3955,LAW,77
306,Stillwater,36.1156,-97.0586,SWO,84
307,Edmond,35.6528,-97.4781,PWA,89
308,Enid,36.3956,-97.8784,WDG,80
309,Muskogee,35.7479,-95.3697,MKO,77
310,Ponca City,36.7069,-97.0856,PNC,83
311,Bartlesville,36.7473,-95.9808,BVO,82
312,Portland,45.5231,-122.6765,PDX,141
313,Eugene,44.0521,-123.0868,EUG,119
314,Bend,44.0582,-121.3153,RDM,151
315,Salem,44.9429,-123.0351,SLE,107
316,Ashland,42.1959,-122.7118,S03,145
317,Newport,44.6368,-124.0535,ONP,123
318,Cannon Beach,45.8918,-123.9612,AST,189
319,Hood River,45.7054,-121.5217,PDX,175
320,Grants Pass,42.439,-123.3272,MFR,143
321,Medford,42.3265,-122.8756,MFR,126
322,Philadelphia,39.9526,-75.1652,PHL,175
323,Pittsburgh,40.4406,-79.9959,PIT,142
324,Harrisburg,40.2737,-76.8844,MDT,130
325,Lancaster,40.0379,-76.3055,LNS,128
326,Gettysburg,39.8309,-77.2311,HGR,131
327,Hershey,40.2859,-76.6502,MDT,170
328,Bethlehem,40.6259,-75.3705,ABE,146
329,Allentown,40.6084,-75.4902,ABE,135
330,Erie,42.1292,-80.0851,ERI,120
331,Scranton,41.408,-75.6624,AVP,124
332,Providence,41.824,-71.4128,PVD,156
333,Newport,41.4901,-71.3128,PVD,192
334,Warwick,41.7001,-71.4162,PVD,144
335,Cranston,41.7798,-71.4373,PVD,158
336,Pawtucket,41.8787,-71.3826,PVD,139
